null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Heath,Ned,Dewey,Dewey,Sophie,Dewey,Dewey,Dewey,Rosalie,Rosalie,Dewey,Dewey,Dewey,Dewey,Dewey,Rosalie,Rosalie,Dewey,Felix,Zack,Dewey,Gabe,Dewey,Dewey,Dewey,Mason
Dewey,Patty,Ned,Heath,Shonelle,Felix,,Rosalie,Heath,,Rosalie,Rosalie,Rosalie,Ned,Gabe,,Summer,Summer,Freddy,Billy,Marcy,Hannah,Rosalie,Shonelle,Zack,Dewey
Theo,Dewey,,Theo,Dewey,,,,Zack,,Ms Sheinkopf,Lucy,Ms Sheinkopf,Patty,,,,Lawrence,Rajun,Freddy,Mason,Lucy,Gabe,Marcy,,Summer
Ashwin,,,Louis,,,,,Summer,,,Louis,Summer,,,,,Marcy,Billy,Lawrence,Billy,Ms Sheinkopf,Ms Sheinkopf,Freddy,,Zack
Harry,,,,,,,,Hannah,,,,Lawrence,,,,,Zack,Tomika,Madison,Summer,Will Tackley,,Zack,,Marcy
,,,,,,,,Will Tackley,,,,Freddy,,,,,Katie,Will Tackley,Shonelle,Lawrence,Leah,,Mason,,Lawrence
,,,,,,,,Noah,,,,Zack,,,,,Freddy,Noah,Mason,Shonelle,Noah,,Summer,,Rajun
,,,,,,,,Louis,,,,,,,,,James,Heath,,Freddy,Rosie,,Billy,,Shonelle
,,,,,,,,Amelia,,,,,,,,,Shonelle,Zack,,Zack,Felix,,Lawrence,,Tomika
,,,,,,,,,,,,,,,,,Billy,,,,Dewey,,Katie,,
,,,,,,,,,,,,,,,,,Madison,,,,Rosalie,,James,,
,,,,,,,,,,,,,,,,,Mason,,,,Louis,,Rosalie,,
,,,,,,,,,,,,,,,,,Sophie,,,,,,Sophie,,
,,,,,,,,,,,,,,,,,Tomika,,,,,,Madison,,
